created;text;retwc;hashtag;followers;friends
09/08/2016 22:06;b'@AustinMahone Is Olympics being seen?';0;None;287;331
09/08/2016 22:06;b'RT @KhadiDon: A performance for my haters. #Olympics \xf0\x9f\x8f\x85\xf0\x9f\x8e\x96 https://t.co/p0HxGiiqFT';31497;Olympics;837;1177
09/08/2016 22:06;b'Lauren Hernandez is my new girl crush \xf0\x9f\x91\x80 #Olympics #gymnastics';0;Olympics;281;1013
09/08/2016 22:06;b'RT @pbombo: https://t.co/16zN5jlhmA This is quite good cc. @IanJuma @calvinkarundu @xavierpie @paul_kevin @ThisIsYusuf';2;None;1965;1087
09/08/2016 22:06;b'2016 Olympics: MyKayla Skinner talks path to Rio berth future at Utah WATCH at:https://t.co/flxLMKz3sm https://t.co/eSdwS0ip0y';0;None;34988;29518
09/08/2016 22:06;"b""RT @espn: Golden girls again!\n\nFor the first time ever, USA women's gymnastics wins team gold in a second straight Olympics. https://t.co/1\xe2\x80\xa6""";2850;None;522;453
09/08/2016 22:06;b'RT @TocRadio: Gary Johnson: Trump Is Watching #Olympics2016 To Judge \xe2\x80\x98How High The Mexican Pole Vaulters Go\xe2\x80\x99\nhttps://t.co/YwEKdNaK0G @PerSo\xe2\x80\xa6';19;Olympics2016;1245;1986
09/08/2016 22:06;b'RT @BuzzFeedNews: The Diving Pool At The #Olympics Turned Green And People Are Grossed Out \xf0\x9f\x8f\x8a \xf0\x9f\x91\x80 https://t.co/M1lV86ZNH4 https://t.co/W7avSQf\xe2\x80\xa6';7;Olympics;1264;1717
09/08/2016 22:06;b'RT @HistoryInPics: Athletes standing in rows and crowds filling the stadium at the first Modern Olympics in Athens, Greece, 1896. https://t\xe2\x80\xa6';1019;None;28;59
09/08/2016 22:06;"b""RT @WSHHFANS: This guy did a homemade Olympics &amp";;;;
09/08/2016 22:06;b'RT @TweetLikeAGirI: me: clueless about gymnastics\nme watchin the olympics: devastating double tuck, she simply cannot afford to make these\xe2\x80\xa6';4608;None;345;479
09/08/2016 22:06;b'Green water in the #diving today #Rio2016 #Olympics https://t.co/cPYcpxmV1Q';0;diving;76;360
09/08/2016 22:06;"b""RT @BlackPplVines: This guy did a homemade Olympics &amp";;;;
09/08/2016 22:06;"b""When ESPN posts results from the Olympics that haven't been shown yet... #PhelpsFace https://t.co/RQLR5BVkok""";0;PhelpsFace;135;75
09/08/2016 22:06;b'Serena been fighting it this Olympics. #RenasArmy';0;RenasArmy;114;450
09/08/2016 22:06;b'We believe! #USA #Olympics https://t.co/PbJ8xFCdWm';0;USA;1461;1226
09/08/2016 22:06;b'RT @BleacherReport: TFW your country just dominated gymnastics \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 #Olympics https://t.co/GjV3AewDxT';706;Olympics;616;506
09/08/2016 22:06;"b""RT @CBCNews: Canada's soccer women post historic win over Germany in Rio https://t.co/WLBfmQj1HG https://t.co/AkrW8OKotd""";65;None;359;1278
09/08/2016 22:06;"b""RT @WSHHFANS: This guy did a homemade Olympics &amp";;;;
09/08/2016 22:06;"b""RT @NiggaCommentary: This guy did a homemade Olympics &amp";;;;
09/08/2016 22:06;b'RT @ilovedemiwbu: me: i hate my country\nmy country: does something in olympics\nme: i love my country';17;None;1403;1939
09/08/2016 22:06;"b""Team triumph beginning of Biles' gold-rush?: At just 4 feet 9 inches tall, Simone Biles might be the smallest... https://t.co/9CB72O4BQu""";0;None;6;8
09/08/2016 22:06;b'#MSM \xf0\x9f\x91\x8eMuslim Poster Girl for Olympics Ibtihaj Muhammad\xe2\x80\x99s Vicious Anti-American Posts | Pamela Geller https://t.co/NnG0u3HsoD via @sharethis';0;MSM;8532;8612
09/08/2016 22:06;"b""You're telling me Rapinoe hasn't played in a year? That's insane. The sheer amount of talent... Hasn't missed a beat #USWNT #Olympics""";0;USWNT;86;318
09/08/2016 22:06;"b'RT @pritatweet: ""Why This Mom Has Banned the Olympics in Her Home"" https://t.co/GZmIUvVfhL'";3;None;459;583
09/08/2016 22:06;b'RT @ABC: North Korean and South Korean gymnasts snap selfie together at the Rio Olympics. https://t.co/cK10lPu4vB https://t.co/l8duAtMkqW';136;None;2452;17
09/08/2016 22:06;"b""RT @EW: Michael Phelps' game face is the latest #Olympics meme: https://t.co/4DFwx7XzYF \xf0\x9f\x98\x82 https://t.co/bQH9BJTouk""";11;Olympics;387;1306
09/08/2016 22:06;"b""Team triumph beginning of Biles' gold-rush?: At just 4 feet 9 inches tall, Simone Biles might be the smallest... https://t.co/3cEf3Jf9cB""";0;None;8;40
09/08/2016 22:06;"b""RT @WSHHFANS: This guy did a homemade Olympics &amp";;;;
09/08/2016 22:06;"b""RT @loitersquvdvids: This guy did a homemade Olympics &amp";;;;
09/08/2016 22:06;b'RT @BuzzFeed: The diving pool at the Olympics turned green and people are grossed out https://t.co/CLXdHHsazg https://t.co/qoBC1CY0vE';34;None;330;351
09/08/2016 22:06;"b""RT @antoniodelotero: don't \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd claim \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd to \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd be \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd a \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd fan \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd of \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd the \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd olympics \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd if \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd you \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd don't \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd know \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd who \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd this \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd is htt\xe2\x80\xa6""";7475;None;255;153
09/08/2016 22:06;"b""RT @NiggaCommentary: This guy did a homemade Olympics &amp";;;;
09/08/2016 22:06;b'RT @girlposts: When the World Cup was announced this cartoon was made. 2016 Olympics it came true https://t.co/ZFxrJbklHh';7981;None;50;181
09/08/2016 22:06;"b""RT @loitersquvdvids: This guy did a homemade Olympics &amp";;;;
09/08/2016 22:06;b'Tongan flag-bearer wins hearts and minds https://t.co/hSt20my4DX';0;None;40;209
09/08/2016 22:06;"b""Team triumph beginning of Biles' gold-rush?: At just 4 feet 9 inches tall, Simone Biles might be the smallest... https://t.co/2AsIUVQNVU""";0;None;5;17
09/08/2016 22:06;b'RT @Pierceathletics: Well..The organisers said it was going 2 be the green Olympics at the Opening Ceremony! #RioOlympics2016 #rterio2016 h\xe2\x80\xa6';12;RioOlympics2016;727;1117
09/08/2016 22:06;"b""RT @NiggaCommentary: This guy did a homemade Olympics &amp";;;;
09/08/2016 22:06;b'USA in general is stacked this olympics';0;None;174;348
09/08/2016 22:06;b'RT @Powerful: When the World Cup was announced this cartoon was made. 2016 Olympics it came true https://t.co/qvcbX8GFf7';16252;None;1741;1931
09/08/2016 22:06;b'RT @nypostsports: Best Olympics tradition? Swimmer gives father the finger before every race https://t.co/ulOeEfQSI4 https://t.co/eIjuHPMg25';778;None;1246;398
09/08/2016 22:06;"b""Team triumph beginning of Biles' gold-rush?: At just 4 feet 9 inches tall, Simone Biles might be the smallest... https://t.co/BuFydWkx6O""";0;None;40;56
09/08/2016 22:06;"b""RT @BlackPplVines: This guy did a homemade Olympics &amp";;;;
09/08/2016 22:06;"b""Team triumph beginning of Biles' gold-rush?: At just 4 feet 9 inches tall, Simone Biles might be the smallest... https://t.co/7LI7ng6f5U""";0;None;21;23
09/08/2016 22:06;b'RT @abc7newsbayarea: This Day in History: Jesse Owens won four gold medals in track and field at the 1936 #Olympics. https://t.co/jtIAXru2Kk';28;Olympics;1818;1608
09/08/2016 22:06;b'RT @morrisoncj: For 2 weeks we can forget our 19 trillion in debt and this terrible presidential election while we kick every countries ass\xe2\x80\xa6';8;None;376;382
09/08/2016 22:06;"b""RT @WSHHFANS: This guy did a homemade Olympics &amp";;;;
09/08/2016 22:06;b'RT @BuzzFeed: US Olympic athletes in their first Olympics vs. now https://t.co/x8Mndvtvhm https://t.co/714MOzjODt';234;None;1653;481
09/08/2016 22:06;"b""After watching for basically an hour and half. I realised I actually have absolutely no interest in women's #gymnastics \nOops #Olympics""";0;gymnastics;948;1498
